Id,Label,occ_field,weighted_avg_income,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,modularity_class,stat_inf_class,eigencentrality
1360,Civil Engineers,Architecture and Engineering,85649.313526,70,56,126,685227.22,641357.51,1326584.73,3,0.522596,0.555802,323.487528,0.043159,0.034374,0.002837,0,0,2,130,0.294262
1410,Electrical and Electronics Engineers,Architecture and Engineering,90697.507756,66,56,122,586461.01,654895.44,1241356.45,3,0.522596,0.555802,372.769369,0.041228,0.036168,0.002714,0,0,2,155,0.285932
1430,"Industrial Engineers, including Health and Safety",Architecture and Engineering,78343.677674,59,57,116,473568.29,390140.17,863708.46,3,0.523202,0.556911,252.046611,0.041422,0.033468,0.002353,0,0,2,5,0.281921
1460,Mechanical Engineers,Architecture and Engineering,85288.810718,72,50,122,641278.59,622867.76,1264146.35,3,0.517796,0.548411,274.768544,0.049695,0.03077,0.002761,0,0,2,57,0.340483
1530,"Engineers, nec",Architecture and Engineering,93983.358112,90,70,160,966325.11,813091.33,1779416.44,3,0.533097,0.572432,592.072618,0.055595,0.043987,0.003712,0,0,2,188,0.394453
1540,Drafters,Architecture and Engineering,49726.418022,69,42,111,407691.68,283919.31,691610.99,3,0.516018,0.54139,156.39973,0.053799,0.028669,0.002627,0,0,2,8,0.372571
1760,"Physical Scientists, nec","Life, Physical, and Social Science",95606.252584,32,41,73,274829.2,280639.05,555468.25,3,0.509605,0.536585,150.578033,0.017952,0.024214,0.001692,0,0,2,23,0.120214
2040,Clergy,Community and Social Services,44120.964199,84,70,154,624368.87,681654.57,1306023.44,3,0.538186,0.575388,507.439679,0.056602,0.044109,0.003327,0,0,5,161,0.390219
2060,"Religious Workers, nec",Community and Social Services,33949.179121,37,19,56,175279.63,93960.07,269239.7,3,0.463992,0.488174,33.081208,0.030501,0.011802,0.001532,0,0,5,102,0.194821
2100,"Lawyers, and judges, magistrates, and other judicial workers",Legal,149284.495026,174,43,217,1434225.02,125748.43,1559973.45,3,0.506173,0.535846,923.127562,0.09454,0.027458,0.007703,0,0,2,6,0.687804
2140,Paralegals and Legal Assistants,Legal,49951.108065,41,38,79,169740.13,123650.91,293391.04,3,0.5125,0.536216,98.244158,0.027272,0.026112,0.001895,0,0,0,45,0.194752
2200,Postsecondary Teachers,"Education, Training, and Library",69779.822745,152,140,292,1053004.61,771095.86,1824100.47,3,0.591088,0.654841,3677.09289,0.084142,0.082431,0.006787,0,0,2,1,0.612375
