Source,Target,Weight,Income_target,Income_source,income_difference,income_change
10,20,227944.16,71939.85509309573,122376.001810108,-50436.0,Decrease
10,30,18790.86,71981.5811534488,122376.001810108,-50394.0,Decrease
10,110,6029.09,93007.65480983052,122376.001810108,-29368.0,Decrease
10,120,12613.349999999999,69184.24660528889,122376.001810108,-53192.0,Decrease
10,130,7762.5,73648.25682606827,122376.001810108,-48728.0,Decrease
10,205,219.62,12253.717245214977,122376.001810108,-110122.0,Decrease
10,220,200.56,57933.354810978235,122376.001810108,-64443.0,Decrease
10,230,8490.3,60040.51580152491,122376.001810108,-62335.0,Decrease
10,300,4514.14,150504.9821856314,122376.001810108,28129.0,Increase
10,350,6123.05,65565.26805644167,122376.001810108,-56811.0,Decrease
10,410,6314.73,42328.812010387555,122376.001810108,-80047.0,Decrease
10,420,5996.799999999999,52773.763731124105,122376.001810108,-69602.0,Decrease
10,430,37427.37,59991.27376507405,122376.001810108,-62385.0,Decrease
10,520,2057.81,40204.699115225296,122376.001810108,-82171.0,Decrease
10,710,16566.5,61654.7628255463,122376.001810108,-60721.0,Decrease
10,720,2463.0,50625.86113001754,122376.001810108,-71750.0,Decrease
10,730,3471.34,53108.0109584347,122376.001810108,-69268.0,Decrease
10,800,3843.93,53248.11417774415,122376.001810108,-69128.0,Decrease
10,1800,2999.68,64027.91396390481,122376.001810108,-58348.0,Decrease
10,2010,2042.53,42112.5556039904,122376.001810108,-80263.0,Decrease
10,2100,21468.02,116807.2132704555,122376.001810108,-5569.0,Decrease
10,2200,9129.18,50935.81055213844,122376.001810108,-71440.0,Decrease
10,2300,195.64,27030.488996981367,122376.001810108,-95346.0,Decrease
10,2310,2867.08,44086.57172364702,122376.001810108,-78289.0,Decrease
10,2340,3869.11,22920.860361688094,122376.001810108,-99455.0,Decrease
10,2550,3884.33,45243.11385037865,122376.001810108,-77133.0,Decrease
10,2825,3633.96,57666.23398940734,122376.001810108,-64710.0,Decrease
10,2850,1410.11,39823.470474258684,122376.001810108,-82553.0,Decrease
10,3060,6172.81,142207.78267778124,122376.001810108,19832.0,Increase
10,3130,2318.02,59325.332355949446,122376.001810108,-63051.0,Decrease
10,3530,260.42,29981.374903933774,122376.001810108,-92395.0,Decrease
10,4110,1350.64,16189.317975205686,122376.001810108,-106187.0,Decrease
10,4230,1555.43,15259.87511100365,122376.001810108,-107116.0,Decrease
10,4320,3490.98,21282.06269921823,122376.001810108,-101094.0,Decrease
10,4540,175.72,17294.949393515693,122376.001810108,-105081.0,Decrease
10,4610,2331.18,19545.144470723073,122376.001810108,-102831.0,Decrease
10,4700,16006.08,36328.623106866944,122376.001810108,-86047.0,Decrease
10,4720,441.09,15366.720640725242,122376.001810108,-107009.0,Decrease
10,4760,2031.7399999999998,22613.42444112708,122376.001810108,-99763.0,Decrease
10,4965,1222.41,27090.87222461204,122376.001810108,-95285.0,Decrease
10,5100,3143.57,30767.108985511204,122376.001810108,-91609.0,Decrease
10,5120,3334.67,28934.98821110015,122376.001810108,-93441.0,Decrease
10,5240,2562.37,32469.207372746605,122376.001810108,-89907.0,Decrease
10,5700,1125.81,33514.53190809569,122376.001810108,-88861.0,Decrease
10,5860,1812.06,28520.76404962158,122376.001810108,-93855.0,Decrease
10,7315,3239.5,27962.265224567243,122376.001810108,-94414.0,Decrease
10,9050,633.82,41888.985830119724,122376.001810108,-80487.0,Decrease
10,9130,3665.07,27555.504942306703,122376.001810108,-94820.0,Decrease
20,10,264857.59,122376.001810108,71939.85509309573,50436.0,Increase
20,30,15010.439999999999,71981.5811534488,71939.85509309573,42.0,No Change
20,120,5666.12,69184.24660528889,71939.85509309573,-2756.0,No Change
20,140,837.18,77340.47007361027,71939.85509309573,5401.0,Increase
20,150,1878.0,67418.80514406467,71939.85509309573,-4521.0,Decrease
20,160,2065.0,52081.485782055286,71939.85509309573,-19858.0,Decrease
20,230,9398.04,60040.51580152491,71939.85509309573,-11899.0,Decrease
20,310,5716.05,30381.709707070822,71939.85509309573,-41558.0,Decrease
20,350,3462.26,65565.26805644167,71939.85509309573,-6375.0,Decrease
20,420,3004.38,52773.763731124105,71939.85509309573,-19166.0,Decrease
20,430,35970.79,59991.27376507405,71939.85509309573,-11949.0,Decrease
20,540,3782.77,44889.353831022934,71939.85509309573,-27051.0,Decrease
20,560,3387.0,66202.83923163307,71939.85509309573,-5737.0,Decrease
20,620,200.66,55449.62837741435,71939.85509309573,-16490.0,Decrease
20,710,6816.66,61654.7628255463,71939.85509309573,-10285.0,Decrease
20,730,1020.24,53108.0109584347,71939.85509309573,-18832.0,Decrease
20,800,3621.0,53248.11417774415,71939.85509309573,-18692.0,Decrease
20,1000,1530.44,64442.758693966396,71939.85509309573,-7497.0,Decrease
20,1220,313.6,67148.28688769892,71939.85509309573,-4792.0,Decrease
20,1800,1124.46,64027.91396390481,71939.85509309573,-7912.0,Decrease
20,1840,232.45,58350.54135745518,71939.85509309573,-13589.0,Decrease
20,1960,384.4,38179.429267303174,71939.85509309573,-33760.0,Decrease
20,2000,1281.2,41116.91732645472,71939.85509309573,-30823.0,Decrease
20,2060,315.81,24144.138914286963,71939.85509309573,-47796.0,Decrease
20,2100,9225.94,116807.2132704555,71939.85509309573,44867.0,Increase
20,2200,2243.98,50935.81055213844,71939.85509309573,-21004.0,Decrease
20,2300,10582.8,27030.488996981367,71939.85509309573,-44909.0,Decrease
20,2310,3463.2,44086.57172364702,71939.85509309573,-27853.0,Decrease
20,2540,2099.95,18753.81034832787,71939.85509309573,-53186.0,Decrease
20,2600,446.05,18377.844436977586,71939.85509309573,-53562.0,Decrease
20,2720,764.1,19950.539440411856,71939.85509309573,-51989.0,Decrease
20,2810,2638.62,46090.99963204851,71939.85509309573,-25849.0,Decrease
20,2850,2469.53,39823.470474258684,71939.85509309573,-32116.0,Decrease
20,3060,2470.8199999999997,142207.78267778124,71939.85509309573,70268.0,Increase
20,3540,694.63,52062.62050948966,71939.85509309573,-19877.0,Decrease
20,3730,1166.29,48422.7771837262,71939.85509309573,-23517.0,Decrease
20,4010,3502.45,23703.546474410472,71939.85509309573,-48236.0,Decrease
20,4030,1040.57,15430.854817387868,71939.85509309573,-56509.0,Decrease
20,4040,3187.02,21481.51032150718,71939.85509309573,-50458.0,Decrease
20,4050,366.22,15386.837531596278,71939.85509309573,-56553.0,Decrease
20,4110,10003.16,16189.317975205686,71939.85509309573,-55751.0,Decrease
20,4150,1648.72,12804.361331970576,71939.85509309573,-59135.0,Decrease
20,4200,992.64,22960.24697349656,71939.85509309573,-48980.0,Decrease
20,4220,3724.28,17549.700359309696,71939.85509309573,-54390.0,Decrease
20,4230,5230.91,15259.87511100365,71939.85509309573,-56680.0,Decrease
20,4610,179.25,19545.144470723073,71939.85509309573,-52395.0,Decrease
20,4620,2428.51,19586.76235175769,71939.85509309573,-52353.0,Decrease
20,4650,494.4,15680.261175917478,71939.85509309573,-56260.0,Decrease
20,4700,13094.35,36328.623106866944,71939.85509309573,-35611.0,Decrease
20,4720,3625.42,15366.720640725242,71939.85509309573,-56573.0,Decrease
20,4760,6716.5199999999995,22613.42444112708,71939.85509309573,-49326.0,Decrease
20,4810,324.28,42386.37758443814,71939.85509309573,-29553.0,Decrease
20,4840,5057.0,52829.92135445636,71939.85509309573,-19110.0,Decrease
20,4850,1484.32,36459.739448252185,71939.85509309573,-35480.0,Decrease
20,4950,1130.5,9728.689194938588,71939.85509309573,-62211.0,Decrease
20,5000,5551.63,43962.2377728951,71939.85509309573,-27978.0,Decrease
20,5100,1430.0,30767.108985511204,71939.85509309573,-41173.0,Decrease
20,5120,439.74,28934.98821110015,71939.85509309573,-43005.0,Decrease
20,5160,308.71,23697.63325983887,71939.85509309573,-48242.0,Decrease
20,5240,13009.71,32469.207372746605,71939.85509309573,-39471.0,Decrease
20,5310,757.7,28455.36841891572,71939.85509309573,-43484.0,Decrease
20,5330,1892.5,31035.66590689411,71939.85509309573,-40904.0,Decrease
20,5350,2946.0,27494.566070608573,71939.85509309573,-44445.0,Decrease
20,5360,1709.91,42310.992602950166,71939.85509309573,-29629.0,Decrease
20,5400,6049.43,23705.035393475755,71939.85509309573,-48235.0,Decrease
20,5410,1852.76,30512.73713824194,71939.85509309573,-41427.0,Decrease
20,5520,179.47,34501.20522130339,71939.85509309573,-37439.0,Decrease
20,5620,3588.79,22811.762665796792,71939.85509309573,-49128.0,Decrease
20,5700,6748.32,33514.53190809569,71939.85509309573,-38425.0,Decrease
20,5840,1724.11,36899.76656439065,71939.85509309573,-35040.0,Decrease
20,5940,2545.25,33813.48849422013,71939.85509309573,-38126.0,Decrease
20,7200,1747.33,32471.68210050542,71939.85509309573,-39468.0,Decrease
20,7220,503.08,27588.795431277653,71939.85509309573,-44351.0,Decrease
20,7750,5129.92,26070.200427162286,71939.85509309573,-45870.0,Decrease
20,8965,965.6,26991.90147985913,71939.85509309573,-44948.0,Decrease
20,9100,1543.41,22984.6954690497,71939.85509309573,-48955.0,Decrease
