Source,Target,Weight,Income_target,Income_source,income_difference,income_change
10,20,418217.52,94521.99684026201,162279.86198830526,-67758.0,Decrease
10,30,18890.41,104863.87048550394,162279.86198830526,-57416.0,Decrease
10,100,3665.61,76304.44252334222,162279.86198830526,-85975.0,Decrease
10,110,12387.08,111832.5855860423,162279.86198830526,-50447.0,Decrease
10,120,23434.899999999998,113593.74400566297,162279.86198830526,-48686.0,Decrease
10,130,1689.66,92592.23519106167,162279.86198830526,-69688.0,Decrease
10,140,2232.0,84122.6729185374,162279.86198830526,-78157.0,Decrease
10,205,5565.27,18130.402069107433,162279.86198830526,-144149.0,Decrease
10,220,3563.77,63959.801946896085,162279.86198830526,-98320.0,Decrease
10,230,6282.879999999999,79868.3470993917,162279.86198830526,-82412.0,Decrease
10,310,5944.75,45304.77694282507,162279.86198830526,-116975.0,Decrease
10,350,5248.62,97692.42013653283,162279.86198830526,-64587.0,Decrease
10,410,5477.99,67091.46161933249,162279.86198830526,-95188.0,Decrease
10,420,4356.68,69574.22775785855,162279.86198830526,-92706.0,Decrease
10,430,38726.46,79391.86270577816,162279.86198830526,-82888.0,Decrease
10,530,2228.1,63409.11815084474,162279.86198830526,-98871.0,Decrease
10,600,3176.79,67262.54938547224,162279.86198830526,-95017.0,Decrease
10,620,2361.0,69762.47625670375,162279.86198830526,-92517.0,Decrease
10,710,32281.48,85455.71553333245,162279.86198830526,-76824.0,Decrease
10,720,3244.37,56066.205526080084,162279.86198830526,-106214.0,Decrease
10,730,3694.5600000000004,76665.19083048419,162279.86198830526,-85615.0,Decrease
10,800,21064.42,78726.82884242624,162279.86198830526,-83553.0,Decrease
10,810,1631.18,51440.01288580512,162279.86198830526,-110840.0,Decrease
10,840,4356.45,109216.81555825887,162279.86198830526,-53063.0,Decrease
10,850,17915.81,120700.19396832125,162279.86198830526,-41580.0,Decrease
10,910,3400.6699999999996,85894.58130668408,162279.86198830526,-76385.0,Decrease
10,950,3231.58,73513.90525984192,162279.86198830526,-88766.0,Decrease
10,1000,7111.12,76555.18251022155,162279.86198830526,-85725.0,Decrease
10,1020,9314.15,108444.21206542995,162279.86198830526,-53836.0,Decrease
10,1050,1564.92,64192.56844258683,162279.86198830526,-98087.0,Decrease
10,1100,1617.04,76148.36969019254,162279.86198830526,-86131.0,Decrease
10,1300,1578.52,75958.94120969147,162279.86198830526,-86321.0,Decrease
10,1360,4597.74,85649.31352579664,162279.86198830526,-76631.0,Decrease
10,1410,223.98,90697.50775554478,162279.86198830526,-71582.0,Decrease
10,1430,1327.19,78343.6776741723,162279.86198830526,-83936.0,Decrease
10,1460,1069.78,85288.81071781353,162279.86198830526,-76991.0,Decrease
10,1530,3793.37,93983.3581118592,162279.86198830526,-68297.0,Decrease
10,1540,1791.92,49726.41802152462,162279.86198830526,-112553.0,Decrease
10,1760,117.65,95606.25258385064,162279.86198830526,-66674.0,Decrease
10,2040,1882.12,44120.964199254515,162279.86198830526,-118159.0,Decrease
10,2060,216.53,33949.17912103636,162279.86198830526,-128331.0,Decrease
10,2100,32192.04,149284.49502615773,162279.86198830526,-12995.0,Decrease
10,2140,171.9,49951.108065050335,162279.86198830526,-112329.0,Decrease
10,2200,12202.04,69779.82274513232,162279.86198830526,-92500.0,Decrease
10,2310,3960.36,52798.98162403808,162279.86198830526,-109481.0,Decrease
10,2340,901.25,38151.32751232066,162279.86198830526,-124129.0,Decrease
10,2540,592.57,25829.039173994654,162279.86198830526,-136451.0,Decrease
10,2600,3226.74,35416.27714814382,162279.86198830526,-126864.0,Decrease
10,2700,2168.07,68555.38834521962,162279.86198830526,-93724.0,Decrease
10,2825,1838.21,79973.13365166474,162279.86198830526,-82307.0,Decrease
10,2850,3132.7799999999997,43767.52317382836,162279.86198830526,-118512.0,Decrease
10,3010,4673.7,132329.20478131936,162279.86198830526,-29951.0,Decrease
10,3050,2341.67,112124.79836793622,162279.86198830526,-50155.0,Decrease
10,3060,24668.38,201325.74735105428,162279.86198830526,39046.0,Increase
10,3740,1031.38,67826.87887128293,162279.86198830526,-94453.0,Decrease
10,3820,3233.9700000000003,69870.06026592174,162279.86198830526,-92410.0,Decrease
10,3930,4715.78,31577.74424832856,162279.86198830526,-130702.0,Decrease
10,3940,4051.98,17545.060993845964,162279.86198830526,-144735.0,Decrease
10,4300,291.25,55768.68034255999,162279.86198830526,-106511.0,Decrease
10,4500,2441.4,15778.14036912706,162279.86198830526,-146502.0,Decrease
10,4700,13759.28,56291.92071222806,162279.86198830526,-105988.0,Decrease
10,4720,1945.24,19927.519063207033,162279.86198830526,-142352.0,Decrease
10,4760,4639.139999999999,40195.091485464545,162279.86198830526,-122085.0,Decrease
10,4820,780.5600000000001,112268.12619626966,162279.86198830526,-50012.0,Decrease
10,4840,5084.69,73953.84494398319,162279.86198830526,-88326.0,Decrease
10,4850,17254.43,61998.56865945008,162279.86198830526,-100281.0,Decrease
10,4920,5676.59,61564.9262918142,162279.86198830526,-100715.0,Decrease
10,4940,4296.78,25748.329127328172,162279.86198830526,-136532.0,Decrease
10,5120,1002.87,39483.41723135707,162279.86198830526,-122796.0,Decrease
10,5240,5436.0,40214.990490182,162279.86198830526,-122065.0,Decrease
10,5400,519.86,28139.74375771338,162279.86198830526,-134140.0,Decrease
10,5550,824.29,52087.5411295248,162279.86198830526,-110192.0,Decrease
10,5600,3472.62,52999.67720739955,162279.86198830526,-109280.0,Decrease
10,5620,2893.02,24889.335765322543,162279.86198830526,-137391.0,Decrease
10,5860,273.9,32026.545828702438,162279.86198830526,-130253.0,Decrease
